id,name,tier,engine,emulated,dataset,level,status,input_bytes,archive_bytes,ratio_pct,compress_s_median,decompress_s_median,compress_rss_bytes,verify
tar-bz2,tar.bz2 (bzip2),A,native,False,images,default,ok,17011359,12863191,75.615,1.188,0.573,8896512,decompressed tar SHA-256 matches canonical tar
tar-bz3,tar.bz3 (bzip3),A,native,False,images,default,ok,17011359,12416555,72.99,2.151,1.666,104742912,decompressed tar SHA-256 matches canonical tar
tar-bz3,tar.bz3 (bzip3),A,native,False,images,max,ok,17011359,12417941,72.998,2.402,1.946,1653997568,decompressed tar SHA-256 matches canonical tar
tar-gz,tar.gz (gzip),A,native,False,images,default,ok,17011359,14216716,83.572,0.408,0.046,1949696,decompressed tar SHA-256 matches canonical tar
tar-gz,tar.gz (gzip),A,native,False,images,max,ok,17011359,14214341,83.558,0.41,0.052,1949696,decompressed tar SHA-256 matches canonical tar
tar-gz-zopfli,"tar.gz (zopfli, exhaustive deflate)",A,native,False,images,default,ok,17011359,13858329,81.465,22.047,0.081,213696512,decompressed tar SHA-256 matches canonical tar
tar-lrz,tar.lrz (lrzip),A,native,False,images,default,ok,17011359,12923643,75.971,1.324,0.357,343638016,decompressed tar SHA-256 matches canonical tar
tar-lrz,tar.lrz (lrzip),A,native,False,images,max,ok,17011359,12923654,75.971,1.428,0.356,444268544,decompressed tar SHA-256 matches canonical tar
tar-lz4,tar.lz4 (LZ4),A,native,False,images,default,ok,17011359,16058788,94.4,0.017,0.039,27066368,decompressed tar SHA-256 matches canonical tar
tar-lz4,tar.lz4 (LZ4),A,native,False,images,max,ok,17011359,15005695,88.21,0.163,0.036,35815424,decompressed tar SHA-256 matches canonical tar
tar-lzip,tar.lz (lzip),A,native,False,images,default,ok,17011359,12928334,75.998,3.762,0.942,94470144,decompressed tar SHA-256 matches canonical tar
tar-lzip,tar.lz (lzip),A,native,False,images,max,ok,17011359,12919275,75.945,3.365,0.866,188891136,decompressed tar SHA-256 matches canonical tar
tar-lzo,tar.lzo (lzop),A,native,False,images,default,ok,17011359,16268338,95.632,0.043,0.04,2195456,decompressed tar SHA-256 matches canonical tar
tar-lzo,tar.lzo (lzop),A,native,False,images,max,ok,17011359,14962942,87.959,0.98,0.053,2539520,decompressed tar SHA-256 matches canonical tar
tar-rz,tar.rz (rzip),A,native,False,images,default,ok,17011359,12827985,75.408,1.21,0.501,61849600,decompressed tar SHA-256 matches canonical tar
tar-rz,tar.rz (rzip),A,native,False,images,max,ok,17011359,12829615,75.418,1.538,0.509,96829440,decompressed tar SHA-256 matches canonical tar
tar-xz,tar.xz (xz/LZMA2),A,native,False,images,default,ok,17011359,12911580,75.9,3.364,0.37,129400832,decompressed tar SHA-256 matches canonical tar
tar-xz,tar.xz (xz/LZMA2),A,native,False,images,max,ok,17011359,12906712,75.871,3.103,0.357,252674048,decompressed tar SHA-256 matches canonical tar
tar-z,"tar.Z (compress, LZW 1984)",A,native,False,images,default,ok,17011359,17624039,103.602,0.317,0.137,1966080,decompressed tar SHA-256 matches canonical tar
tar-zst,tar.zst (Zstandard),A,native,False,images,default,ok,17011359,14543121,85.491,0.05,0.043,39813120,decompressed tar SHA-256 matches canonical tar
tar-zst,tar.zst (Zstandard),A,native,False,images,max,ok,17011359,13640058,80.182,1.732,0.034,439582720,decompressed tar SHA-256 matches canonical tar
wim,"WIM (wimlib, LZX)",A,native,False,images,default,ok,17011359,13986232,82.217,0.091,0.078,23953408,6 files verified against manifest
wim,"WIM (wimlib, LZX)",A,native,False,images,max,ok,17011359,13975536,82.154,0.126,0.08,23937024,6 files verified against manifest
xar,xar (macOS eXtensible ARchiver),A,native,False,images,default,ok,17011359,14212764,83.549,0.437,0.057,7782400,6 files verified against manifest
zip,ZIP (Info-ZIP),A,native,False,images,default,ok,17011359,14198662,83.466,0.445,0.135,1884160,6 files verified against manifest
zip,ZIP (Info-ZIP),A,native,False,images,max,ok,17011359,14196623,83.454,0.448,0.131,1867776,6 files verified against manifest
zoo,zoo (1986),B,native,False,images,default,ok,17011359,17019049,100.045,0.844,0.067,1949696,decompressed tar SHA-256 matches canonical tar
zoo,zoo (1986),B,native,False,images,max,ok,17011359,14302916,84.079,0.92,0.594,1949696,decompressed tar SHA-256 matches canonical tar
zpaq,zpaq (journaling PAQ-family),A,native,False,images,default,ok,17011359,14782922,86.9,0.349,1.407,82624512,6 files verified against manifest
zpaq,zpaq (journaling PAQ-family),A,native,False,images,max,ok,17011359,11459900,67.366,45.564,47.154,504119296,6 files verified against manifest
apple-archive,"Apple Archive (.aar, lzfse)",A,native,False,text,default,ok,11559589,4122000,35.659,0.059,0.036,22069248,4 files verified against manifest
ar,"ar (appendix: unix archiver, store-only)",A,native,False,text,default,ok,11559589,11571268,100.101,0.069,0.039,1228800,decompressed tar SHA-256 matches canonical tar
arc-sea,"ARC (SEA, 1985)",B,native,False,text,default,ok,11559589,5793561,50.119,0.203,0.125,1982464,decompressed tar SHA-256 matches canonical tar
arj,ARJ (1991),B,native,False,text,default,ok,11559589,4135407,35.775,0.47,0.157,2080768,4 files verified against manifest
arj,ARJ (1991),B,native,False,text,max,ok,11559589,4132970,35.754,0.519,0.153,2080768,4 files verified against manifest
cab,"CAB (gcab, MSZIP)",A,native,False,text,default,ok,11559589,4456570,38.553,0.319,0.05,15122432,4 files verified against manifest
cpio,cpio (appendix: store-only),A,native,False,text,default,ok,11559589,11560448,100.007,0.074,0.024,3178496,4 files verified against manifest
dar,dar (Disk ARchive),A,native,False,text,default,ok,11559589,4041230,34.96,0.592,0.049,11763712,4 files verified against manifest
dmg-udzo,"DMG (UDZO, zlib-compressed image)",A,native,False,text,default,ok,11559589,5021308,43.438,4.077,0.234,6569984,4 files verified against manifest
dmg-udzo,"DMG (UDZO, zlib-compressed image)",A,native,False,text,max,ok,11559589,4201841,36.349,6.07,0.221,6602752,4 files verified against manifest
dmg-ulmo,"DMG (ULMO, lzma-compressed image)",A,native,False,text,default,ok,11559589,3439543,29.755,7.074,0.361,6586368,4 files verified against manifest
freearc,"FreeArc 0.666 (2007, Wine)",C,wine,True,text,default,timeout,11559589,,,,,,
freearc,"FreeArc 0.666 (2007, Wine)",C,wine,True,text,max,timeout,11559589,,,,,,
freeze,freeze (1993),B,native,False,text,default,ok,11559589,4433109,38.35,0.578,0.217,1949696,decompressed tar SHA-256 matches canonical tar
ha,"HA (1993, PPM-family)",B,native,False,text,default,ok,11559589,4044465,34.988,0.811,0.355,1949696,decompressed tar SHA-256 matches canonical tar
iso,"ISO 9660 (mkisofs, store-only)",A,native,False,text,default,ok,11559589,11933696,103.236,0.033,0.012,6471680,4 files verified against manifest
lha,"LHA/LZH (1988, lh5)",B,native,False,text,default,ok,11559589,4395530,38.025,0.448,0.158,2195456,4 files verified against manifest
lha,"LHA/LZH (1988, lh5)",B,native,False,text,max,ok,11559589,3912090,33.843,1.124,0.138,2441216,4 files verified against manifest
paq8px,"paq8px (context mixing, state of the art)",B,native,False,text,default,ok,11559589,2085288,18.039,910.915,914.256,589889536,decompressed tar SHA-256 matches canonical tar
pax,pax (appendix: POSIX archiver),A,native,False,text,default,ok,11559589,11571200,100.1,0.037,0.035,1622016,4 files verified against manifest
pkzip,"ZIP (PKZIP 2.04g, 1993)",D,dosbox,True,text,default,ok,11559589,4105461,35.516,24.162,0.095,152272896,decompressed tar SHA-256 matches canonical tar
pkzip,"ZIP (PKZIP 2.04g, 1993)",D,dosbox,True,text,max,ok,11559589,4040007,34.949,26.192,0.081,152125440,decompressed tar SHA-256 matches canonical tar
rar4,RAR 4 (legacy format),A,native,False,text,default,ok,11559589,3458376,29.918,0.176,0.061,115048448,4 files verified against manifest
rar4,RAR 4 (legacy format),A,native,False,text,max,ok,11559589,3404502,29.452,0.269,0.061,114884608,4 files verified against manifest
rar5,RAR 5 (WinRAR/rar),A,native,False,text,default,ok,11559589,3462064,29.95,0.172,0.047,153157632,4 files verified against manifest
rar5,RAR 5 (WinRAR/rar),A,native,False,text,max,ok,11559589,3408264,29.484,0.267,0.042,153075712,4 files verified against manifest
sevenzip,"7z (7-Zip, LZMA2)",A,native,False,text,default,ok,11559589,3124769,27.032,1.956,0.09,147062784,4 files verified against manifest
sevenzip,"7z (7-Zip, LZMA2)",A,native,False,text,max,ok,11559589,3112581,26.926,1.995,0.088,147030016,4 files verified against manifest
shar,shar (appendix: shell archive),A,native,False,text,default,ok,11559589,11836674,102.397,0.126,0.177,2064384,4 files verified against manifest
squashfs,SquashFS (mksquashfs),A,native,False,text,default,ok,11559589,4149248,35.894,0.083,0.029,37879808,4 files verified against manifest
tar,"tar (uncompressed, baseline)",A,native,False,text,default,ok,11559589,11564032,100.038,0.03,0.026,3342336,4 files verified against manifest
tar-br,tar.br (Brotli),A,native,False,text,default,ok,11559589,3127358,27.054,13.53,0.04,245268480,decompressed tar SHA-256 matches canonical tar
tar-bz2,tar.bz2 (bzip2),A,native,False,text,default,ok,11559589,2983907,25.813,0.583,0.213,7995392,decompressed tar SHA-256 matches canonical tar
tar-bz3,tar.bz3 (bzip3),A,native,False,text,default,ok,11559589,2538975,21.964,1.173,0.649,94339072,decompressed tar SHA-256 matches canonical tar
tar-bz3,tar.bz3 (bzip3),A,native,False,text,max,ok,11559589,2538975,21.964,1.543,0.838,1620721664,decompressed tar SHA-256 matches canonical tar
tar-gz,tar.gz (gzip),A,native,False,text,default,ok,11559589,4066933,35.182,0.403,0.035,1949696,decompressed tar SHA-256 matches canonical tar
tar-gz,tar.gz (gzip),A,native,False,text,max,ok,11559589,4040902,34.957,0.532,0.036,1949696,decompressed tar SHA-256 matches canonical tar
tar-gz-zopfli,"tar.gz (zopfli, exhaustive deflate)",A,native,False,text,default,ok,11559589,3838112,33.203,14.621,0.026,160153600,decompressed tar SHA-256 matches canonical tar
tar-lrz,tar.lrz (lrzip),A,native,False,text,default,ok,11559589,3148612,27.238,2.446,0.228,243007488,decompressed tar SHA-256 matches canonical tar
tar-lrz,tar.lrz (lrzip),A,native,False,text,max,ok,11559589,3148702,27.239,2.661,0.234,310050816,decompressed tar SHA-256 matches canonical tar
tar-lz4,tar.lz4 (LZ4),A,native,False,text,default,ok,11559589,6714551,58.086,0.019,0.017,20250624,decompressed tar SHA-256 matches canonical tar
tar-lz4,tar.lz4 (LZ4),A,native,False,text,max,ok,11559589,4654049,40.261,0.285,0.029,19316736,decompressed tar SHA-256 matches canonical tar
tar-lzip,tar.lz (lzip),A,native,False,text,default,ok,11559589,3118146,26.975,3.592,0.223,89260032,decompressed tar SHA-256 matches canonical tar
tar-lzip,tar.lz (lzip),A,native,False,text,max,ok,11559589,3108215,26.889,3.842,0.219,123092992,decompressed tar SHA-256 matches canonical tar
tar-lzo,tar.lzo (lzop),A,native,False,text,default,ok,11559589,6535028,56.533,0.047,0.046,2195456,decompressed tar SHA-256 matches canonical tar
tar-lzo,tar.lzo (lzop),A,native,False,text,max,ok,11559589,4716496,40.802,1.461,0.032,2539520,decompressed tar SHA-256 matches canonical tar
tar-rz,tar.rz (rzip),A,native,False,text,default,ok,11559589,3054208,26.421,0.73,0.304,56131584,decompressed tar SHA-256 matches canonical tar
tar-rz,tar.rz (rzip),A,native,False,text,max,ok,11559589,3062707,26.495,1.061,0.316,90996736,decompressed tar SHA-256 matches canonical tar
tar-xz,tar.xz (xz/LZMA2),A,native,False,text,default,ok,11559589,3112172,26.923,3.225,0.125,112623616,decompressed tar SHA-256 matches canonical tar
tar-xz,tar.xz (xz/LZMA2),A,native,False,text,max,ok,11559589,3111996,26.921,3.503,0.127,188006400,decompressed tar SHA-256 matches canonical tar
tar-z,"tar.Z (compress, LZW 1984)",A,native,False,text,default,ok,11559589,4511529,39.028,0.168,0.085,1966080,decompressed tar SHA-256 matches canonical tar
tar-zst,tar.zst (Zstandard),A,native,False,text,default,ok,11559589,3985558,34.478,0.044,0.02,23101440,decompressed tar SHA-256 matches canonical tar
tar-zst,tar.zst (Zstandard),A,native,False,text,max,ok,11559589,3176779,27.482,3.033,0.021,288931840,decompressed tar SHA-256 matches canonical tar
uharc,"UHARC 0.6b (2005, Wine)",C,wine,True,text,default,timeout,11559589,,,,,,
uharc,"UHARC 0.6b (2005, Wine)",C,wine,True,text,max,timeout,11559589,,,,,,
wim,"WIM (wimlib, LZX)",A,native,False,text,default,ok,11559589,4222678,36.53,0.129,0.053,24199168,4 files verified against manifest
wim,"WIM (wimlib, LZX)",A,native,False,text,max,ok,11559589,4205654,36.382,0.197,0.051,24297472,4 files verified against manifest
xar,xar (macOS eXtensible ARchiver),A,native,False,text,default,ok,11559589,4041014,34.958,0.557,0.041,5357568,4 files verified against manifest
zip,ZIP (Info-ZIP),A,native,False,text,default,ok,11559589,4062367,35.143,0.41,0.085,1884160,4 files verified against manifest
zip,ZIP (Info-ZIP),A,native,False,text,max,ok,11559589,4036316,34.917,0.544,0.074,1867776,4 files verified against manifest
zoo,zoo (1986),B,native,False,text,default,ok,11559589,5424649,46.928,0.252,0.088,1949696,decompressed tar SHA-256 matches canonical tar
zoo,zoo (1986),B,native,False,text,max,ok,11559589,4410114,38.151,0.732,0.225,1949696,decompressed tar SHA-256 matches canonical tar
zpaq,zpaq (journaling PAQ-family),A,native,False,text,default,ok,11559589,4229062,36.585,0.32,1.175,91815936,4 files verified against manifest
zpaq,zpaq (journaling PAQ-family),A,native,False,text,max,ok,11559589,2294990,19.854,26.757,27.907,325255168,4 files verified against manifest
apple-archive,"Apple Archive (.aar, lzfse)",A,native,False,video,default,ok,13683124,13683450,100.002,0.039,0.022,34324480,2 files verified against manifest
ar,"ar (appendix: unix archiver, store-only)",A,native,False,video,default,ok,13683124,13690948,100.057,0.041,0.024,1228800,decompressed tar SHA-256 matches canonical tar
arc-sea,"ARC (SEA, 1985)",B,native,False,video,default,ok,13683124,18900878,138.133,0.317,0.054,1966080,decompressed tar SHA-256 matches canonical tar
arj,ARJ (1991),B,native,False,video,default,ok,13683124,13683344,100.002,0.076,0.047,2097152,2 files verified against manifest
arj,ARJ (1991),B,native,False,video,max,ok,13683124,13683340,100.002,0.071,0.047,2097152,2 files verified against manifest
cab,"CAB (gcab, MSZIP)",A,native,False,video,default,ok,13683124,13655010,99.795,0.18,0.02,15220736,2 files verified against manifest
cpio,cpio (appendix: store-only),A,native,False,video,default,ok,13683124,13683712,100.004,0.058,0.013,3162112,2 files verified against manifest
dar,dar (Disk ARchive),A,native,False,video,default,ok,13683124,13652984,99.78,0.327,0.095,11485184,2 files verified against manifest
dmg-udzo,"DMG (UDZO, zlib-compressed image)",A,native,False,video,default,ok,13683124,14047998,102.667,5.058,0.401,6569984,2 files verified against manifest
dmg-udzo,"DMG (UDZO, zlib-compressed image)",A,native,False,video,max,ok,13683124,14041339,102.618,5.084,0.412,6602752,2 files verified against manifest
dmg-ulmo,"DMG (ULMO, lzma-compressed image)",A,native,False,video,default,ok,13683124,13860580,101.297,6.054,0.338,6586368,2 files verified against manifest
freeze,freeze (1993),B,native,False,video,default,ok,13683124,13678831,99.969,1.067,0.907,1949696,decompressed tar SHA-256 matches canonical tar
ha,"HA (1993, PPM-family)",B,native,False,video,default,ok,13683124,13690921,100.057,1.107,0.081,1949696,decompressed tar SHA-256 matches canonical tar
iso,"ISO 9660 (mkisofs, store-only)",A,native,False,video,default,ok,13683124,14055424,102.721,0.017,0.013,6471680,2 files verified against manifest
lha,"LHA/LZH (1988, lh5)",B,native,False,video,default,ok,13683124,13667977,99.889,0.549,0.312,2211840,2 files verified against manifest
lha,"LHA/LZH (1988, lh5)",B,native,False,video,max,ok,13683124,13676346,99.95,0.782,0.31,2441216,2 files verified against manifest
pax,pax (appendix: POSIX archiver),A,native,False,video,default,ok,13683124,13690880,100.057,0.022,0.022,1622016,2 files verified against manifest
pkzip,"ZIP (PKZIP 2.04g, 1993)",D,dosbox,True,video,default,ok,13683124,13655389,99.797,28.547,0.081,152862720,decompressed tar SHA-256 matches canonical tar
pkzip,"ZIP (PKZIP 2.04g, 1993)",D,dosbox,True,video,max,ok,13683124,13654583,99.791,30.562,0.078,152829952,decompressed tar SHA-256 matches canonical tar
rar4,RAR 4 (legacy format),A,native,False,video,default,ok,13683124,13664934,99.867,0.174,0.116,119963648,2 files verified against manifest
rar4,RAR 4 (legacy format),A,native,False,video,max,ok,13683124,13664807,99.866,0.178,0.121,120078336,2 files verified against manifest
rar5,RAR 5 (WinRAR/rar),A,native,False,video,default,ok,13683124,13654550,99.791,0.189,0.054,258719744,2 files verified against manifest
rar5,RAR 5 (WinRAR/rar),A,native,False,video,max,ok,13683124,13654474,99.791,0.181,0.054,258686976,2 files verified against manifest
sevenzip,"7z (7-Zip, LZMA2)",A,native,False,video,default,ok,13683124,13495384,98.628,0.563,0.02,165986304,2 files verified against manifest
sevenzip,"7z (7-Zip, LZMA2)",A,native,False,video,max,ok,13683124,13495118,98.626,0.549,0.02,166166528,2 files verified against manifest
shar,shar (appendix: shell archive),A,native,False,video,default,failed,13683124,,,,,,
squashfs,SquashFS (mksquashfs),A,native,False,video,default,ok,13683124,13651968,99.772,0.052,0.018,42532864,2 files verified against manifest
tar,"tar (uncompressed, baseline)",A,native,False,video,default,ok,13683124,13686272,100.023,0.02,0.013,3342336,2 files verified against manifest
tar-br,tar.br (Brotli),A,native,False,video,default,ok,13683124,13489863,98.588,14.768,0.041,173260800,decompressed tar SHA-256 matches canonical tar
tar-bz2,tar.bz2 (bzip2),A,native,False,video,default,ok,13683124,13701815,100.137,1.022,0.499,7995392,decompressed tar SHA-256 matches canonical tar
tar-bz3,tar.bz3 (bzip3),A,native,False,video,default,ok,13683124,13680742,99.983,1.844,1.873,98582528,decompressed tar SHA-256 matches canonical tar
tar-bz3,tar.bz3 (bzip3),A,native,False,video,max,ok,13683124,13680742,99.983,2.137,2.115,1326710784,decompressed tar SHA-256 matches canonical tar
tar-gz,tar.gz (gzip),A,native,False,video,default,ok,13683124,13652721,99.778,0.236,0.019,1949696,decompressed tar SHA-256 matches canonical tar
tar-gz,tar.gz (gzip),A,native,False,video,max,ok,13683124,13652518,99.776,0.251,0.018,1949696,decompressed tar SHA-256 matches canonical tar
tar-gz-zopfli,"tar.gz (zopfli, exhaustive deflate)",A,native,False,video,default,ok,13683124,13643438,99.71,10.1,0.034,593281024,decompressed tar SHA-256 matches canonical tar
tar-lrz,tar.lrz (lrzip),A,native,False,video,default,ok,13683124,13525099,98.845,0.44,0.053,125714432,decompressed tar SHA-256 matches canonical tar
tar-lrz,tar.lrz (lrzip),A,native,False,video,max,ok,13683124,13525084,98.845,0.479,0.048,162316288,decompressed tar SHA-256 matches canonical tar
tar-lz4,tar.lz4 (LZ4),A,native,False,video,default,ok,13683124,13671052,99.912,0.019,0.019,19726336,decompressed tar SHA-256 matches canonical tar
tar-lz4,tar.lz4 (LZ4),A,native,False,video,max,ok,13683124,13669334,99.899,0.104,0.019,30883840,decompressed tar SHA-256 matches canonical tar
tar-lzip,tar.lz (lzip),A,native,False,video,default,ok,13683124,13802289,100.871,3.234,0.87,91373568,decompressed tar SHA-256 matches canonical tar
tar-lzip,tar.lz (lzip),A,native,False,video,max,ok,13683124,13650863,99.764,3.062,0.854,142163968,decompressed tar SHA-256 matches canonical tar
tar-lzo,tar.lzo (lzop),A,native,False,video,default,ok,13683124,13665801,99.873,0.021,0.021,2195456,decompressed tar SHA-256 matches canonical tar
tar-lzo,tar.lzo (lzop),A,native,False,video,max,ok,13683124,13655118,99.795,0.64,0.021,2539520,decompressed tar SHA-256 matches canonical tar
tar-rz,tar.rz (rzip),A,native,False,video,default,ok,13683124,13511264,98.744,1.181,0.103,60342272,decompressed tar SHA-256 matches canonical tar
tar-rz,tar.rz (rzip),A,native,False,video,max,ok,13683124,13510451,98.738,1.311,0.099,92340224,decompressed tar SHA-256 matches canonical tar
tar-xz,tar.xz (xz/LZMA2),A,native,False,video,default,ok,13683124,13643544,99.711,2.907,0.034,126795776,decompressed tar SHA-256 matches canonical tar
tar-xz,tar.xz (xz/LZMA2),A,native,False,video,max,ok,13683124,13494892,98.624,2.464,0.033,219987968,decompressed tar SHA-256 matches canonical tar
tar-z,"tar.Z (compress, LZW 1984)",A,native,False,video,default,ok,13683124,18447089,134.816,0.285,0.125,1966080,decompressed tar SHA-256 matches canonical tar
tar-zst,tar.zst (Zstandard),A,native,False,video,default,ok,13683124,13653246,99.782,0.025,0.017,35160064,decompressed tar SHA-256 matches canonical tar
tar-zst,tar.zst (Zstandard),A,native,False,video,max,ok,13683124,13499403,98.657,0.854,0.018,301580288,decompressed tar SHA-256 matches canonical tar
wim,"WIM (wimlib, LZX)",A,native,False,video,default,ok,13683124,13647790,99.742,0.058,0.027,17072128,2 files verified against manifest
wim,"WIM (wimlib, LZX)",A,native,False,video,max,ok,13683124,13648182,99.745,0.057,0.022,17252352,2 files verified against manifest
xar,xar (macOS eXtensible ARchiver),A,native,False,video,default,ok,13683124,13652880,99.779,0.274,0.029,5292032,2 files verified against manifest
zip,ZIP (Info-ZIP),A,native,False,video,default,ok,13683124,13651508,99.769,0.257,0.077,1835008,2 files verified against manifest
zip,ZIP (Info-ZIP),A,native,False,video,max,ok,13683124,13651297,99.767,0.268,0.075,1818624,2 files verified against manifest
zoo,zoo (1986),B,native,False,video,default,ok,13683124,13691049,100.058,0.759,0.048,1949696,decompressed tar SHA-256 matches canonical tar
zoo,zoo (1986),B,native,False,video,max,ok,13683124,13688578,100.04,0.587,0.505,1949696,decompressed tar SHA-256 matches canonical tar
zpaq,zpaq (journaling PAQ-family),A,native,False,video,default,ok,13683124,13590782,99.325,0.142,0.094,36126720,2 files verified against manifest
zpaq,zpaq (journaling PAQ-family),A,native,False,video,max,ok,13683124,13478421,98.504,41.41,43.291,314867712,2 files verified against manifest
